state	year	m	f
AK	1910	John	Mary
AL	1910	James	Mary
AR	1910	James	Mary
AZ	1910	John	Mary
CA	1910	John	Mary
CO	1910	John	Mary
CT	1910	John	Mary
DE	1910	William	Mary
FL	1910	James	Mary
GA	1910	James	Mary
HI	1910	John	Mary
IA	1910	John	Helen
ID	1910	John	Mary
IL	1910	John	Mary
IN	1910	William	Mary
KS	1910	John	Mary
KY	1910	James	Mary
LA	1910	John	Mary
MA	1910	John	Mary
MD	1910	John	Mary
ME	1910	John	Mary
MI	1910	John	Helen
MN	1910	John	Mary
MO	1910	William	Mary
MS	1910	James	Mary
MT	1910	John	Mary
NC	1910	James	Mary
ND	1910	John	Mary
NE	1910	John	Mary
NH	1910	John	Mary
NJ	1910	John	Mary
NM	1910	Jose	Mary
NV	1910	John	Mary
NY	1910	John	Mary
OH	1910	John	Mary
OK	1910	John	Mary
OR	1910	John	Dorothy
PA	1910	John	Mary
RI	1910	John	Mary
SC	1910	James	Mary
SD	1910	John	Helen
TN	1910	James	Mary
TX	1910	John	Mary
UT	1910	John	Mary
VA	1910	James	Mary
VT	1910	George	Mary
WA	1910	James	Helen
WI	1910	John	Mary
WV	1910	William	Mary
WY	1910	James	Mary
AK	1911	John	Mary
AL	1911	James	Mary
AR	1911	James	Mary
AZ	1911	John	Mary
CA	1911	John	Mary
CO	1911	John	Mary
CT	1911	John	Mary
DE	1911	William	Mary
FL	1911	James	Mary
GA	1911	James	Mary
HI	1911	John	Mary
IA	1911	John	Helen
ID	1911	William	Mary
IL	1911	John	Mary
IN	1911	John	Mary
KS	1911	John	Mary
KY	1911	William	Mary
LA	1911	John	Mary
MA	1911	John	Mary
MD	1911	William	Mary
ME	1911	John	Dorothy
MI	1911	John	Mary
MN	1911	John	Mary
MO	1911	William	Mary
MS	1911	James	Mary
MT	1911	John	Mary
NC	1911	James	Mary
ND	1911	John	Mary
NE	1911	John	Helen
NH	1911	John	Mary
NJ	1911	John	Mary
NM	1911	Jose	Mary
NV	1911	John	Margaret
NY	1911	John	Mary
OH	1911	John	Mary
OK	1911	James	Mary
OR	1911	John	Dorothy
PA	1911	John	Mary
RI	1911	John	Mary
SC	1911	James	Mary
SD	1911	John	Helen
TN	1911	James	Mary
TX	1911	James	Mary
UT	1911	John	Mary
VA	1911	James	Mary
VT	1911	John	Mary
WA	1911	John	Helen
WI	1911	John	Mary
WV	1911	William	Mary
WY	1911	John	Mary
AK	1912	John	Mary
AL	1912	James	Mary
AR	1912	James	Mary
AZ	1912	John	Mary
CA	1912	John	Mary
CO	1912	John	Mary
CT	1912	John	Mary
DE	1912	John	Mary
FL	1912	James	Mary
GA	1912	James	Mary
HI	1912	John	Mary
IA	1912	John	Mary
ID	1912	John	Mary
IL	1912	John	Mary
IN	1912	John	Mary
KS	1912	John	Mary
KY	1912	William	Mary
LA	1912	John	Mary
MA	1912	John	Mary
MD	1912	William	Mary
ME	1912	John	Mary
MI	1912	John	Mary
MN	1912	John	Mary
MO	1912	William	Mary
MS	1912	James	Mary
MT	1912	John	Mary
NC	1912	James	Mary
ND	1912	John	Mary
NE	1912	John	Helen
NH	1912	John	Mary
NJ	1912	John	Mary
NM	1912	Jose	Mary
NV	1912	John	Dorothy
NY	1912	John	Mary
OH	1912	John	Mary
OK	1912	William	Mary
OR	1912	Robert	Helen
PA	1912	John	Mary
RI	1912	John	Mary
SC	1912	James	Mary
SD	1912	John	Mary
TN	1912	James	Mary
TX	1912	James	Mary
UT	1912	John	Mary
VA	1912	James	Mary
VT	1912	William	Mary
WA	1912	John	Mary
WI	1912	John	Mary
WV	1912	James	Mary
WY	1912	John	Mary
AK	1913	John	Mary
AL	1913	James	Mary
AR	1913	James	Mary
AZ	1913	John	Mary
CA	1913	John	Mary
CO	1913	John	Mary
CT	1913	John	Mary
DE	1913	John	Mary
FL	1913	James	Mary
GA	1913	James	Mary
HI	1913	George	Mary
IA	1913	John	Mary
ID	1913	John	Mary
IL	1913	John	Mary
IN	1913	John	Mary
KS	1913	John	Mary
KY	1913	William	Mary
LA	1913	John	Mary
MA	1913	John	Mary
MD	1913	William	Mary
ME	1913	John	Mary
MI	1913	John	Mary
MN	1913	John	Helen
MO	1913	William	Mary
MS	1913	James	Mary
MT	1913	John	Mary
NC	1913	James	Mary
ND	1913	John	Helen
NE	1913	John	Mary
NH	1913	John	Mary
NJ	1913	John	Mary
NM	1913	John	Mary
NV	1913	John	Mary
NY	1913	John	Mary
OH	1913	John	Mary
OK	1913	William	Mary
OR	1913	John	Mary
PA	1913	John	Mary
RI	1913	John	Mary
SC	1913	James	Mary
SD	1913	John	Mary
TN	1913	James	Mary
TX	1913	James	Mary
UT	1913	John	Mary
VA	1913	James	Mary
VT	1913	John	Mary
WA	1913	John	Mary
WI	1913	John	Mary
WV	1913	William	Mary
WY	1913	John	Mary
AK	1914	John	Mary
AL	1914	James	Mary
AR	1914	James	Mary
AZ	1914	William	Mary
CA	1914	John	Mary
CO	1914	John	Mary
CT	1914	John	Mary
DE	1914	William	Mary
FL	1914	James	Mary
GA	1914	James	Mary
HI	1914	George	Mary
IA	1914	John	Mary
ID	1914	John	Mary
IL	1914	John	Mary
IN	1914	John	Mary
KS	1914	John	Mary
KY	1914	James	Mary
LA	1914	John	Mary
MA	1914	John	Mary
MD	1914	William	Mary
ME	1914	John	Mary
MI	1914	John	Mary
MN	1914	John	Helen
MO	1914	William	Mary
MS	1914	James	Mary
MT	1914	John	Mary
NC	1914	James	Mary
ND	1914	John	Margaret
NE	1914	John	Helen
NH	1914	John	Mary
NJ	1914	John	Mary
NM	1914	John	Mary
NV	1914	John	Ruth
NY	1914	John	Mary
OH	1914	John	Mary
OK	1914	James	Mary
OR	1914	Robert	Helen
PA	1914	John	Mary
RI	1914	John	Mary
SC	1914	James	Mary
SD	1914	John	Dorothy
TN	1914	James	Mary
TX	1914	James	Mary
UT	1914	John	Mary
VA	1914	James	Mary
VT	1914	John	Mary
WA	1914	John	Mary
WI	1914	John	Helen
WV	1914	James	Mary
WY	1914	John	Mary
AK	1915	John	Mary
AL	1915	James	Mary
AR	1915	James	Mary
AZ	1915	John	Mary
CA	1915	John	Mary
CO	1915	John	Mary
CT	1915	John	Mary
DE	1915	John	Mary
FL	1915	James	Mary
GA	1915	James	Mary
HI	1915	George	Mary
IA	1915	John	Mary
ID	1915	John	Mary
IL	1915	John	Mary
IN	1915	Robert	Mary
KS	1915	John	Mary
KY	1915	James	Mary
LA	1915	James	Mary
MA	1915	John	Mary
MD	1915	William	Mary
ME	1915	John	Mary
MI	1915	John	Mary
MN	1915	John	Helen
MO	1915	William	Mary
MS	1915	James	Mary
MT	1915	John	Helen
NC	1915	James	Mary
ND	1915	John	Helen
NE	1915	John	Helen
NH	1915	John	Mary
NJ	1915	John	Mary
NM	1915	John	Mary
NV	1915	John	Mary
NY	1915	John	Mary
OH	1915	John	Mary
OK	1915	William	Mary
OR	1915	John	Mary
PA	1915	John	Mary
RI	1915	John	Mary
SC	1915	James	Mary
SD	1915	John	Mary
TN	1915	James	Mary
TX	1915	James	Mary
UT	1915	John	Mary
VA	1915	James	Mary
VT	1915	John	Mary
WA	1915	Robert	Mary
WI	1915	John	Dorothy
WV	1915	William	Mary
WY	1915	William	Mary
AK	1916	John	Mary
AL	1916	James	Mary
AR	1916	James	Mary
AZ	1916	John	Mary
CA	1916	John	Mary
CO	1916	John	Mary
CT	1916	John	Mary
DE	1916	William	Mary
FL	1916	James	Mary
GA	1916	James	Mary
HI	1916	John	Mary
IA	1916	Robert	Mary
ID	1916	John	Mary
IL	1916	John	Mary
IN	1916	Robert	Mary
KS	1916	John	Mary
KY	1916	James	Mary
LA	1916	John	Mary
MA	1916	John	Mary
MD	1916	William	Mary
ME	1916	Robert	Mary
MI	1916	John	Mary
MN	1916	John	Helen
MO	1916	William	Mary
MS	1916	James	Mary
MT	1916	John	Mary
NC	1916	James	Mary
ND	1916	John	Mary
NE	1916	John	Helen
NH	1916	John	Mary
NJ	1916	John	Mary
NM	1916	John	Mary
NV	1916	John	Mary
NY	1916	John	Mary
OH	1916	John	Mary
OK	1916	James	Mary
OR	1916	Robert	Helen
PA	1916	John	Mary
RI	1916	John	Mary
SC	1916	James	Mary
SD	1916	John	Helen
TN	1916	James	Mary
TX	1916	James	Mary
UT	1916	John	Mary
VA	1916	James	Mary
VT	1916	Robert	Mary
WA	1916	Robert	Mary
WI	1916	John	Dorothy
WV	1916	John	Mary
WY	1916	John	Mary
AK	1917	John	Mary
AL	1917	James	Mary
AR	1917	James	Mary
AZ	1917	John	Mary
CA	1917	John	Mary
CO	1917	John	Mary
CT	1917	John	Mary
DE	1917	John	Mary
FL	1917	James	Mary
GA	1917	James	Mary
HI	1917	John	Mary
IA	1917	Robert	Mary
ID	1917	Robert	Mary
IL	1917	John	Mary
IN	1917	Robert	Mary
KS	1917	John	Mary
KY	1917	James	Mary
LA	1917	John	Mary
MA	1917	John	Mary
MD	1917	William	Mary
ME	1917	Robert	Mary
MI	1917	John	Mary
MN	1917	John	Helen
MO	1917	John	Mary
MS	1917	James	Mary
MT	1917	John	Mary
NC	1917	James	Mary
ND	1917	John	Helen
NE	1917	John	Helen
NH	1917	John	Mary
NJ	1917	John	Mary
NM	1917	John	Mary
NV	1917	John	Mary
NY	1917	John	Mary
OH	1917	Robert	Mary
OK	1917	James	Mary
OR	1917	Robert	Mary
PA	1917	John	Mary
RI	1917	John	Mary
SC	1917	James	Mary
SD	1917	John	Helen
TN	1917	James	Mary
TX	1917	James	Mary
UT	1917	John	Mary
VA	1917	James	Mary
VT	1917	John	Mary
WA	1917	Robert	Mary
WI	1917	Robert	Dorothy
WV	1917	James	Mary
WY	1917	John	Mary
AK	1918	John	Mary
AL	1918	James	Mary
AR	1918	James	Mary
AZ	1918	John	Mary
CA	1918	Robert	Mary
CO	1918	John	Mary
CT	1918	John	Mary
DE	1918	John	Mary
FL	1918	James	Mary
GA	1918	James	Mary
HI	1918	John	Mary
IA	1918	Robert	Mary
ID	1918	Robert	Mary
IL	1918	John	Mary
IN	1918	Robert	Mary
KS	1918	John	Mary
KY	1918	James	Mary
LA	1918	John	Mary
MA	1918	John	Mary
MD	1918	William	Mary
ME	1918	John	Mary
MI	1918	John	Mary
MN	1918	John	Dorothy
MO	1918	William	Mary
MS	1918	James	Mary
MT	1918	John	Mary
NC	1918	James	Mary
ND	1918	John	Helen
NE	1918	John	Mary
NH	1918	John	Mary
NJ	1918	John	Mary
NM	1918	Jose	Mary
NV	1918	John	Mary
NY	1918	John	Mary
OH	1918	Robert	Mary
OK	1918	James	Mary
OR	1918	Robert	Dorothy
PA	1918	John	Mary
RI	1918	John	Mary
SC	1918	James	Mary
SD	1918	Robert	Mary
TN	1918	James	Mary
TX	1918	James	Mary
UT	1918	William	Mary
VA	1918	James	Mary
VT	1918	Robert	Mary
WA	1918	Robert	Mary
WI	1918	Robert	Dorothy
WV	1918	William	Mary
WY	1918	John	Mary
AK	1919	John	Mary
AL	1919	James	Mary
AR	1919	James	Mary
AZ	1919	John	Mary
CA	1919	Robert	Mary
CO	1919	John	Mary
CT	1919	John	Mary
